name,description,price,currency,billing_type
Strategic Planning Basic,Comprehensive strategic planning services for your organization - Basic Package,2500,usd,one_time
Strategic Planning Advanced,Comprehensive strategic planning services for your organization - Advanced Package,5000,usd,one_time
Vision and Mission Workshop,Interactive session to establish SMART goals and key performance indicators for your team,1500,usd,one_time
Goal Setting Session,Interactive session to establish SMART goals and key performance indicators for your team,1200,usd,one_time
Team Retreat - Half Day,Professional facilitation for half-day team retreat sessions,2000,usd,one_time
Team Retreat - Full Day,Professional facilitation for full-day team retreat sessions,3500,usd,one_time
Leadership Team Building,Engaging team building activities and exercises for leadership teams,4500,usd,one_time
Conflict Resolution Workshop,Interactive workshop on managing organizational change and resolving conflicts,1800,usd,one_time
Leadership Development Training,Customized leadership development program and training,3000,usd,one_time
Communication Skills Training,Professional communication skills training and development,2200,usd,one_time
Change Management Training,Comprehensive change management training and implementation,2800,usd,one_time
Project Management Training,Professional project management training and certification,2500,usd,one_time
Customer Service Training,Customer service excellence training and development,1800,usd,one_time
Digital Readiness Assessment,In-depth assessment of organizational digital readiness and capabilities,1500,usd,one_time
Software Implementation Support,Expert consultation and support for software implementation,4000,usd,one_time
User Training Program,Comprehensive user training program for digital tools and systems,2500,usd,one_time
Digital Change Management,Digital transformation change management and implementation,3200,usd,one_time
Digital Workflow Optimization,Expert consultation on digital workflow optimization and automation,2800,usd,one_time
